x,y,z
-7,-8,15
-7,-7,14
-6,-9,15
-6,-8,14
-6,-7,13
-6,-6,12
-5,-10,15
-5,-9,14
-5,-8,13
-5,-7,12
-5,-6,11
-5,-5,10
-4,-11,15
-4,-10,14
-4,-9,13
-4,-8,12
-4,-7,11
-4,-6,10
-4,-5,9
-4,-4,8
-3,-12,15
-3,-11,14
-3,-10,13
-3,-9,12
-3,-8,11
-3,-7,10
-3,-6,9
-3,-5,8
-3,-4,7
-3,-3,6
-2,-13,15
-2,-12,14
-2,-11,13
-2,-10,12
-2,-9,11
-2,-8,10
-2,-7,9
-2,-6,8
-2,-5,7
-2,-4,6
-2,-3,5
-2,-2,4
-1,-14,15
-1,-13,14
-1,-12,13
-1,-11,12
-1,-10,11
-1,-9,10
-1,-8,9
-1,-7,8
-1,-6,7
-1,-5,6
-1,-4,5
-1,-3,4
-1,-2,3
-1,-1,2
0,-15,15
0,-14,14
0,-13,13
0,-12,12
0,-11,11
0,-10,10
0,-9,9
0,-8,8
0,-7,7
0,-6,6
0,-5,5
0,-4,4
0,-3,3
0,-2,2
0,-1,1
0,0,0
1,-16,15
1,-15,14
1,-14,13
1,-13,12
1,-12,11
1,-11,10
1,-10,9
1,-9,8
1,-8,7
1,-7,6
1,-6,5
1,-5,4
1,-4,3
1,-3,2
1,-2,1
1,-1,0
2,-17,15
2,-16,14
2,-15,13
2,-14,12
2,-13,11
2,-12,10
2,-11,9
2,-10,8
2,-9,7
2,-8,6
2,-7,5
2,-6,4
2,-5,3
2,-4,2
2,-3,1
2,-2,0
3,-18,15
3,-17,14
3,-16,13
3,-15,12
3,-14,11
3,-13,10
3,-12,9
3,-11,8
3,-10,7
3,-9,6
3,-8,5
3,-7,4
3,-6,3
3,-5,2
3,-4,1
3,-3,0
4,-19,15
4,-18,14
4,-17,13
4,-16,12
4,-15,11
4,-14,10
4,-13,9
4,-12,8
4,-11,7
4,-10,6
4,-9,5
4,-8,4
4,-7,3
4,-6,2
4,-5,1
4,-4,0
5,-20,15
5,-19,14
5,-18,13
5,-17,12
5,-16,11
5,-15,10
5,-14,9
5,-13,8
5,-12,7
5,-11,6
5,-10,5
5,-9,4
5,-8,3
5,-7,2
5,-6,1
5,-5,0
6,-21,15
6,-20,14
6,-19,13
6,-18,12
6,-17,11
6,-16,10
6,-15,9
6,-14,8
6,-13,7
6,-12,6
6,-11,5
6,-10,4
6,-9,3
6,-8,2
6,-7,1
6,-6,0
7,-22,15
7,-21,14
7,-20,13
7,-19,12
7,-18,11
7,-17,10
7,-16,9
7,-15,8
7,-14,7
7,-13,6
7,-12,5
7,-11,4
7,-10,3
7,-9,2
7,-8,1
7,-7,0
8,-23,15
8,-22,14
8,-21,13
8,-20,12
8,-19,11
8,-18,10
8,-17,9
8,-16,8
8,-15,7
8,-14,6
8,-13,5
8,-12,4
8,-11,3
8,-10,2
8,-9,1
8,-8,0
9,-22,13
9,-21,12
9,-20,11
9,-19,10
9,-18,9
9,-17,8
9,-16,7
9,-15,6
9,-14,5
9,-13,4
9,-12,3
9,-11,2
9,-10,1
9,-9,0
10,-21,11
10,-20,10
10,-19,9
10,-18,8
10,-17,7
10,-16,6
10,-15,5
10,-14,4
10,-13,3
10,-12,2
10,-11,1
10,-10,0
11,-20,9
11,-19,8
11,-18,7
11,-17,6
11,-16,5
11,-15,4
11,-14,3
11,-13,2
11,-12,1
11,-11,0
12,-19,7
12,-18,6
12,-17,5
12,-16,4
12,-15,3
12,-14,2
12,-13,1
12,-12,0
13,-18,5
13,-17,4
13,-16,3
13,-15,2
13,-14,1
13,-13,0
14,-17,3
14,-16,2
14,-15,1
14,-14,0
15,-16,1
15,-15,0
